Date,Model,MAE,RMSE,
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
2025-12-09_12-42-08,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,40.04955755478256,59.707060594436854
