Date,Model,MAE,RMSE,
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-04-01,103.25698597591119,50.95534482441841,161.08545050701645
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-05-01,88.21640731557565,36.24088196027442,142.0756145936742
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-06-01,108.83285177459925,57.26872361375289,164.72591496311495
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-07-01,231.5921152455131,175.34600383374257,286.13957731533236
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-08-01,289.88713915416355,236.4510203444253,342.8197651833198
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-09-01,246.55002521356965,190.70566777942958,298.3023605125048
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-10-01,241.0347937421673,190.3425201978289,293.7846052818588
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.0464379356679,550.4273370111343
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
