2025-11-04 14:54:40 | Main-Logger | INFO | Maharashtra Started......
2025-11-04 14:54:55 | Main-Logger | INFO | Maharashtra Completed 
2025-11-04 14:54:55 | Main-Logger | INFO | Chattisgarh Started......
2025-11-04 14:55:15 | Main-Logger | INFO | Chattisgarh Completed 
2025-11-04 14:55:15 | Main-Logger | INFO | TamilNadu Started......
2025-11-04 14:55:35 | Main-Logger | INFO | TamilNadu Completed 
2025-11-04 14:58:52 | Main-Logger | INFO | Main logger Started.
2025-11-04 14:59:04 | Main-Logger | INFO | data Loading Completed..
2025-11-04 14:59:04 | Main-Logger | INFO | Cleaing data...........
2025-11-04 14:59:11 | Main-Logger | INFO | Cleanig Completed.
2025-11-04 14:59:11 | Main-Logger | INFO | Gujarat Started......
2025-11-04 14:59:14 | Main-Logger | INFO | Gujarat Completed 
2025-11-04 14:59:14 | Main-Logger | INFO | Maharashtra Started......
2025-11-04 14:59:15 | Main-Logger | INFO | Maharashtra Completed 
2025-11-04 14:59:15 | Main-Logger | INFO | Chattisgarh Started......
2025-11-04 14:59:17 | Main-Logger | INFO | Chattisgarh Completed 
2025-11-04 14:59:17 | Main-Logger | INFO | TamilNadu Started......
2025-11-04 14:59:19 | Main-Logger | INFO | TamilNadu Completed 
2025-11-04 15:04:32 | Main-Logger | INFO | Main logger Started.
2025-11-04 15:04:50 | Main-Logger | INFO | data Loading Completed..
2025-11-04 15:04:50 | Main-Logger | INFO | Cleaing data...........
2025-11-04 15:04:58 | Main-Logger | INFO | Cleanig Completed.
2025-11-04 15:04:58 | Main-Logger | INFO | Gujarat Started......
2025-11-04 15:05:01 | Main-Logger | INFO | Gujarat Completed 
2025-11-04 15:05:01 | Main-Logger | INFO | Maharashtra Started......
2025-11-04 15:05:05 | Main-Logger | INFO | Maharashtra Completed 
2025-11-04 15:05:05 | Main-Logger | INFO | Chattisgarh Started......
2025-11-04 15:05:09 | Main-Logger | INFO | Chattisgarh Completed 
2025-11-04 15:05:09 | Main-Logger | INFO | TamilNadu Started......
2025-11-04 15:05:13 | Main-Logger | INFO | TamilNadu Completed 
2025-11-04 15:16:51 | Main-Logger | INFO | Main logger Started.
2025-11-04 15:17:00 | Main-Logger | INFO | data Loading Completed..
2025-11-04 15:17:00 | Main-Logger | INFO | Cleaing data...........
2025-11-04 15:18:03 | Main-Logger | INFO | Main logger Started.
2025-11-04 15:19:37 | Main-Logger | INFO | Main logger Started.
2025-11-04 15:19:48 | Main-Logger | INFO | data Loading Completed..
2025-11-04 15:19:48 | Main-Logger | INFO | Cleaing data...........
2025-11-04 15:19:56 | Main-Logger | INFO | Cleanig Completed.
2025-11-04 15:19:56 | Main-Logger | INFO | Gujarat Started......
2025-11-04 15:20:02 | Main-Logger | INFO | Gujarat Completed 
2025-11-04 15:20:02 | Main-Logger | INFO | Maharashtra Started......
2025-11-04 15:20:04 | Main-Logger | INFO | Maharashtra Completed 
2025-11-04 15:20:04 | Main-Logger | INFO | Chattisgarh Started......
2025-11-04 15:20:07 | Main-Logger | INFO | Chattisgarh Completed 
2025-11-04 15:20:07 | Main-Logger | INFO | TamilNadu Started......
2025-11-04 15:20:09 | Main-Logger | INFO | TamilNadu Completed 
2025-12-02 15:46:27 | Main-Logger | INFO | Main logger Started.
2025-12-02 15:46:35 | Main-Logger | INFO | data Loading Completed..
2025-12-02 15:46:35 | Main-Logger | INFO | Cleaing data...........
2025-12-02 15:46:41 | Main-Logger | INFO | Cleanig Completed.
2025-12-02 15:46:41 | Main-Logger | INFO | Gujarat Started......
2025-12-02 15:47:30 | Main-Logger | INFO | Gujarat Completed 
2025-12-02 15:47:30 | Main-Logger | INFO | Maharashtra Started......
2025-12-02 15:47:36 | Main-Logger | INFO | Maharashtra Completed 
2025-12-02 15:47:36 | Main-Logger | INFO | Chattisgarh Started......
2025-12-02 15:47:40 | Main-Logger | INFO | Chattisgarh Completed 
2025-12-02 15:47:40 | Main-Logger | INFO | TamilNadu Started......
2025-12-02 15:47:44 | Main-Logger | INFO | TamilNadu Completed 
2025-12-03 14:40:00 | Main-Logger | INFO | Main logger Started.
2025-12-03 14:40:08 | Main-Logger | INFO | data Loading Completed..
2025-12-03 14:40:08 | Main-Logger | INFO | Cleaing data...........
2025-12-03 14:40:14 | Main-Logger | INFO | Cleanig Completed.
2025-12-03 14:40:14 | Main-Logger | INFO | Gujarat Started......
2025-12-03 14:40:20 | Main-Logger | INFO | Gujarat Completed 
2025-12-03 14:40:20 | Main-Logger | INFO | Maharashtra Started......
2025-12-03 14:40:22 | Main-Logger | INFO | Maharashtra Completed 
2025-12-03 14:40:22 | Main-Logger | INFO | Chattisgarh Started......
2025-12-03 14:40:24 | Main-Logger | INFO | Chattisgarh Completed 
2025-12-03 14:40:24 | Main-Logger | INFO | TamilNadu Started......
2025-12-03 14:40:26 | Main-Logger | INFO | TamilNadu Completed 
2025-12-03 14:44:54 | Main-Logger | INFO | Main logger Started.
2025-12-03 14:45:02 | Main-Logger | INFO | data Loading Completed..
2025-12-03 14:45:02 | Main-Logger | INFO | Cleaing data...........
2025-12-03 14:45:07 | Main-Logger | INFO | Cleanig Completed.
2025-12-03 14:45:07 | Main-Logger | INFO | Gujarat Started......
2025-12-03 14:45:12 | Main-Logger | INFO | Gujarat Completed 
2025-12-03 14:45:12 | Main-Logger | INFO | Maharashtra Started......
2025-12-03 14:45:15 | Main-Logger | INFO | Maharashtra Completed 
2025-12-03 14:45:15 | Main-Logger | INFO | Chattisgarh Started......
2025-12-03 14:45:16 | Main-Logger | INFO | Chattisgarh Completed 
2025-12-03 14:45:16 | Main-Logger | INFO | TamilNadu Started......
2025-12-03 14:45:18 | Main-Logger | INFO | TamilNadu Completed 
2025-12-09 12:09:19 | Main-Logger | INFO | Main logger Started.
2025-12-09 12:09:25 | Main-Logger | INFO | data Loading Completed..
2025-12-09 12:09:25 | Main-Logger | INFO | Cleaing data...........
2025-12-09 12:09:30 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 12:09:30 | Main-Logger | INFO | Gujarat Started......
2025-12-09 12:10:33 | Main-Logger | INFO | Main logger Started.
2025-12-09 12:10:40 | Main-Logger | INFO | data Loading Completed..
2025-12-09 12:10:40 | Main-Logger | INFO | Cleaing data...........
2025-12-09 12:10:44 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 12:10:44 | Main-Logger | INFO | Gujarat Started......
2025-12-09 12:20:40 | Main-Logger | INFO | Main logger Started.
2025-12-09 12:20:54 | Main-Logger | INFO | data Loading Completed..
2025-12-09 12:20:54 | Main-Logger | INFO | Cleaing data...........
2025-12-09 12:21:00 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 12:21:00 | Main-Logger | INFO | Gujarat Started......
2025-12-09 12:23:45 | Main-Logger | INFO | Main logger Started.
2025-12-09 12:23:55 | Main-Logger | INFO | data Loading Completed..
2025-12-09 12:23:55 | Main-Logger | INFO | Cleaing data...........
2025-12-09 12:24:01 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 12:24:01 | Main-Logger | INFO | Gujarat Started......
2025-12-09 12:26:05 | Main-Logger | INFO | Main logger Started.
2025-12-09 12:26:13 | Main-Logger | INFO | data Loading Completed..
2025-12-09 12:26:13 | Main-Logger | INFO | Cleaing data...........
2025-12-09 12:26:18 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 12:26:18 | Main-Logger | INFO | Gujarat Started......
2025-12-09 12:26:22 | Main-Logger | INFO | Gujarat Completed 
2025-12-09 12:26:22 | Main-Logger | INFO | Maharashtra Started......
2025-12-09 12:26:24 | Main-Logger | INFO | Maharashtra Completed 
2025-12-09 12:26:24 | Main-Logger | INFO | Chattisgarh Started......
2025-12-09 12:26:26 | Main-Logger | INFO | Chattisgarh Completed 
2025-12-09 12:26:26 | Main-Logger | INFO | TamilNadu Started......
2025-12-09 12:26:28 | Main-Logger | INFO | TamilNadu Completed 
2025-12-09 12:34:09 | Main-Logger | INFO | Main logger Started.
2025-12-09 12:34:16 | Main-Logger | INFO | data Loading Completed..
2025-12-09 12:34:16 | Main-Logger | INFO | Cleaing data...........
2025-12-09 12:34:21 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 12:34:21 | Main-Logger | INFO | Gujarat Started......
2025-12-09 12:35:56 | Main-Logger | INFO | Main logger Started.
2025-12-09 12:36:02 | Main-Logger | INFO | data Loading Completed..
2025-12-09 12:36:02 | Main-Logger | INFO | Cleaing data...........
2025-12-09 12:36:06 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 12:36:06 | Main-Logger | INFO | Gujarat Started......
2025-12-09 12:36:09 | Main-Logger | INFO | Gujarat Completed 
2025-12-09 12:36:09 | Main-Logger | INFO | Maharashtra Started......
2025-12-09 12:36:12 | Main-Logger | INFO | Maharashtra Completed 
2025-12-09 12:36:12 | Main-Logger | INFO | Chattisgarh Started......
2025-12-09 12:36:14 | Main-Logger | INFO | Chattisgarh Completed 
2025-12-09 12:36:14 | Main-Logger | INFO | TamilNadu Started......
2025-12-09 12:36:15 | Main-Logger | INFO | TamilNadu Completed 
2025-12-09 12:39:41 | Main-Logger | INFO | Main logger Started.
2025-12-09 12:39:46 | Main-Logger | INFO | data Loading Completed..
2025-12-09 12:39:46 | Main-Logger | INFO | Cleaing data...........
2025-12-09 12:39:50 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 12:39:50 | Main-Logger | INFO | Gujarat Started......
2025-12-09 12:39:53 | Main-Logger | INFO | Gujarat Completed 
2025-12-09 12:39:53 | Main-Logger | INFO | Maharashtra Started......
2025-12-09 12:39:56 | Main-Logger | INFO | Maharashtra Completed 
2025-12-09 12:39:56 | Main-Logger | INFO | Chattisgarh Started......
2025-12-09 12:39:59 | Main-Logger | INFO | Chattisgarh Completed 
2025-12-09 12:39:59 | Main-Logger | INFO | TamilNadu Started......
2025-12-09 12:40:01 | Main-Logger | INFO | TamilNadu Completed 
2025-12-09 12:41:50 | Main-Logger | INFO | Main logger Started.
2025-12-09 12:41:57 | Main-Logger | INFO | data Loading Completed..
2025-12-09 12:41:57 | Main-Logger | INFO | Cleaing data...........
2025-12-09 12:42:01 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 12:42:01 | Main-Logger | INFO | Gujarat Started......
2025-12-09 12:42:04 | Main-Logger | INFO | Gujarat Completed 
2025-12-09 12:42:04 | Main-Logger | INFO | Maharashtra Started......
2025-12-09 12:42:06 | Main-Logger | INFO | Maharashtra Completed 
2025-12-09 12:42:06 | Main-Logger | INFO | Chattisgarh Started......
2025-12-09 12:42:08 | Main-Logger | INFO | Chattisgarh Completed 
2025-12-09 12:42:08 | Main-Logger | INFO | TamilNadu Started......
2025-12-09 12:42:09 | Main-Logger | INFO | TamilNadu Completed 
2025-12-09 15:19:44 | Main-Logger | INFO | Main logger Started.
2025-12-09 15:19:51 | Main-Logger | INFO | data Loading Completed..
2025-12-09 15:19:51 | Main-Logger | INFO | Cleaing data...........
2025-12-09 15:19:56 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 15:19:56 | Main-Logger | INFO | Gujarat Started......
2025-12-09 15:20:01 | Main-Logger | INFO | Gujarat Completed 
2025-12-09 15:20:02 | Main-Logger | INFO | Maharashtra Started......
2025-12-09 15:20:04 | Main-Logger | INFO | Maharashtra Completed 
2025-12-09 15:20:04 | Main-Logger | INFO | Chattisgarh Started......
2025-12-09 15:21:02 | Main-Logger | INFO | Main logger Started.
2025-12-09 15:21:13 | Main-Logger | INFO | data Loading Completed..
2025-12-09 15:21:13 | Main-Logger | INFO | Cleaing data...........
2025-12-09 15:21:17 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 15:21:17 | Main-Logger | INFO | Gujarat Started......
2025-12-09 15:21:20 | Main-Logger | INFO | Gujarat Completed 
2025-12-09 15:21:20 | Main-Logger | INFO | Maharashtra Started......
2025-12-09 15:21:22 | Main-Logger | INFO | Maharashtra Completed 
2025-12-09 15:21:22 | Main-Logger | INFO | Chattisgarh Started......
2025-12-09 15:21:24 | Main-Logger | INFO | Chattisgarh Completed 
2025-12-09 15:21:24 | Main-Logger | INFO | TamilNadu Started......
2025-12-09 15:21:25 | Main-Logger | INFO | TamilNadu Completed 
2025-12-09 16:20:01 | Main-Logger | INFO | Main logger Started.
2025-12-09 16:20:08 | Main-Logger | INFO | data Loading Completed..
2025-12-09 16:20:08 | Main-Logger | INFO | Cleaing data...........
2025-12-09 16:20:12 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 16:20:12 | Main-Logger | INFO | Gujarat Started......
2025-12-09 16:26:05 | Main-Logger | INFO | Main logger Started.
2025-12-09 16:26:18 | Main-Logger | INFO | data Loading Completed..
2025-12-09 16:26:18 | Main-Logger | INFO | Cleaing data...........
2025-12-09 16:26:23 | Main-Logger | INFO | Cleanig Completed.
2025-12-09 16:26:23 | Main-Logger | INFO | Gujarat Started......
2025-12-09 16:26:29 | Main-Logger | INFO | Gujarat Completed 
2025-12-09 16:26:29 | Main-Logger | INFO | Maharashtra Started......
2025-12-09 16:26:32 | Main-Logger | INFO | Maharashtra Completed 
2025-12-09 16:26:32 | Main-Logger | INFO | Chattisgarh Started......
2025-12-09 16:26:34 | Main-Logger | INFO | Chattisgarh Completed 
2025-12-09 16:26:34 | Main-Logger | INFO | TamilNadu Started......
2025-12-09 16:26:36 | Main-Logger | INFO | TamilNadu Completed 
