2025-08-05 14:44:15 | Prophet-Model-Training | INFO | Preparing Data for Prophet....
2025-08-05 14:44:15 | Prophet-Model-Training | INFO | Fitting Data to the Model......
2025-08-05 14:44:18 | Prophet-Model-Training | INFO | Model Training Complete

2025-08-05 14:44:18 | Prophet-Model-Training | INFO | Model Evalution .........
2025-08-05 14:44:19 | Prophet-Model-Training | INFO | Model Forecasting Complete

2025-08-05 14:44:19 | Prophet-Model-Training | INFO | Saving Model......
2025-08-05 14:44:19 | Prophet-Model-Training | INFO | Model Saved
2025-08-05 15:09:54 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 15:11:57 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 15:12:13 | Prophet-Model-Training | INFO | Preparing Data for Prophet....
2025-08-05 15:12:13 | Prophet-Model-Training | INFO | Fitting Data to the Model......
2025-08-05 15:12:15 | Prophet-Model-Training | INFO | Model Training Complete

2025-08-05 15:12:15 | Prophet-Model-Training | INFO | Model Evalution .........
2025-08-05 15:12:15 | Prophet-Model-Training | INFO | Model Forecasting Complete

2025-08-05 15:12:15 | Prophet-Model-Training | INFO | Saving Model......
2025-08-05 15:12:15 | Prophet-Model-Training | INFO | Model Saved
2025-08-05 16:00:01 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 16:00:07 | Prophet-Model-Training | INFO | Preparing Data for Prophet....
2025-08-05 16:00:07 | Prophet-Model-Training | INFO | Fitting Data to the Model......
2025-08-05 16:00:08 | Prophet-Model-Training | INFO | Model Training Complete

2025-08-05 16:00:08 | Prophet-Model-Training | INFO | Model Evalution .........
2025-08-05 16:00:08 | Prophet-Model-Training | INFO | Model Forecasting Complete

2025-08-05 16:00:08 | Prophet-Model-Training | INFO | Saving Model......
2025-08-05 16:00:08 | Prophet-Model-Training | INFO | Model Saved
2025-08-05 16:16:12 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 16:16:22 | Prophet-Model-Training | INFO | Preparing Data for Prophet....
2025-08-05 16:16:22 | Prophet-Model-Training | INFO | Fitting Data to the Model......
2025-08-05 16:16:24 | Prophet-Model-Training | INFO | Model Training Complete

2025-08-05 16:16:24 | Prophet-Model-Training | INFO | Model Evalution .........
2025-08-05 16:16:24 | Prophet-Model-Training | INFO | Model Forecasting Complete

2025-08-05 16:16:24 | Prophet-Model-Training | INFO | Saving Model......
2025-08-05 16:16:25 | Prophet-Model-Training | INFO | Model Saved
2025-08-05 16:16:25 | Prophet-Model-Training | INFO | Saving Forecast Data to Excel File......
2025-08-05 16:16:25 | Prophet-Model-Training | ERROR | An error occurred during model prediction: 'Model_forecast'
Traceback (most recent call last):
  File "z:\Supply-Chain_management(SCM)\Source\Models\train_prophet.py", line 84, in train_model_prophet
    save_model_performace.to_csv(config[r'Model_forecast'])
                                 ~~~~~~^^^^^^^^^^^^^^^^^^^
KeyError: 'Model_forecast'
2025-08-05 16:18:09 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 16:18:22 | Prophet-Model-Training | INFO | Preparing Data for Prophet....
2025-08-05 16:18:22 | Prophet-Model-Training | INFO | Fitting Data to the Model......
2025-08-05 16:18:24 | Prophet-Model-Training | INFO | Model Training Complete

2025-08-05 16:18:24 | Prophet-Model-Training | INFO | Model Evalution .........
2025-08-05 16:18:24 | Prophet-Model-Training | INFO | Model Forecasting Complete

2025-08-05 16:18:24 | Prophet-Model-Training | INFO | Saving Model......
2025-08-05 16:18:24 | Prophet-Model-Training | INFO | Model Saved
2025-08-05 16:18:24 | Prophet-Model-Training | INFO | Saving Forecast Data to Excel File......
2025-08-05 16:21:12 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 16:21:31 | Prophet-Model-Training | INFO | Preparing Data for Prophet....
2025-08-05 16:21:31 | Prophet-Model-Training | INFO | Fitting Data to the Model......
2025-08-05 16:21:33 | Prophet-Model-Training | INFO | Model Training Complete

2025-08-05 16:21:33 | Prophet-Model-Training | INFO | Model Evalution .........
2025-08-05 16:21:33 | Prophet-Model-Training | INFO | Model Forecasting Complete

2025-08-05 16:21:33 | Prophet-Model-Training | INFO | Saving Model......
2025-08-05 16:21:33 | Prophet-Model-Training | INFO | Model Saved
2025-08-05 16:21:33 | Prophet-Model-Training | INFO | Saving Forecast Data to Excel File......
2025-08-05 16:21:33 | Prophet-Model-Training | ERROR | An error occurred during model prediction: [Errno 13] Permission denied: 'Reports\\models\\Model_Forecast.csv'
Traceback (most recent call last):
  File "z:\Supply-Chain_management(SCM)\Source\Models\train_prophet.py", line 84, in train_model_prophet
    save_model_performace.to_csv(config[r'model_forecast'], index=False)
